Close,High,Low,Open
145.02000427246094,145.1999969482422,145.02000427246094,145.14999389648438
145.0800018310547,145.16000366210938,145.02000427246094,145.02000427246094
145.00999450683594,145.1199951171875,145.0,145.0800018310547
144.83999633789062,145.05999755859375,144.75999450683594,145.00999450683594
145.0,145.14999389648438,144.6999969482422,144.7100067138672
144.91000366210938,145.0399932861328,144.85000610351562,145.0
144.9499969482422,144.99000549316406,144.86000061035156,144.8699951171875
144.8800048828125,145.0,144.8000030517578,144.97000122070312
144.6999969482422,144.89999389648438,144.42999267578125,144.8800048828125
144.42999267578125,144.74000549316406,144.3800048828125,144.6699981689453
144.4499969482422,144.5500030517578,144.27000427246094,144.38999938964844
144.60000610351562,144.64999389648438,144.5,144.52999877929688
144.47999572753906,144.64999389648438,144.4199981689453,144.60000610351562
144.39999389648438,144.50999450683594,144.32000732421875,144.47999572753906
144.36000061035156,144.47999572753906,144.35000610351562,144.47000122070312
144.32000732421875,144.38999938964844,144.1999969482422,144.3800048828125
144.3699951171875,144.3800048828125,144.2100067138672,144.2899932861328
144.36000061035156,144.3699951171875,144.25,144.3699951171875
144.30999755859375,144.6699981689453,144.30999755859375,144.36000061035156
144.38999938964844,144.39999389648438,144.27000427246094,144.39999389648438
144.2100067138672,144.39999389648438,144.0500030517578,144.38999938964844
144.07000732421875,144.2100067138672,143.82000732421875,144.1999969482422
144.05999755859375,144.13999938964844,143.97000122070312,144.08999633789062
144.0500030517578,144.08999633789062,143.8800048828125,144.08999633789062
143.7899932861328,144.07000732421875,143.75,144.0399932861328
143.97000122070312,144.08999633789062,143.75,143.7899932861328
143.88999938964844,144.0,143.75,143.97000122070312
143.61000061035156,143.94000244140625,143.5,143.86000061035156
143.63999938964844,143.6999969482422,143.5,143.61000061035156
144.08999633789062,144.1199951171875,143.52000427246094,143.6300048828125
143.88999938964844,144.02000427246094,143.6999969482422,144.02000427246094
143.72000122070312,143.8699951171875,143.5399932861328,143.86000061035156
143.77999877929688,143.85000610351562,143.60000610351562,143.75999450683594
143.7100067138672,143.85000610351562,143.5500030517578,143.72999572753906
143.5,143.6999969482422,143.36000061035156,143.6999969482422
143.7100067138672,143.88999938964844,143.36000061035156,143.50999450683594
143.69000244140625,143.80999755859375,143.49000549316406,143.7100067138672
143.8300018310547,143.9499969482422,143.60000610351562,143.64999389648438
143.9600067138672,144.07000732421875,143.8000030517578,143.8300018310547
143.9199981689453,144.13999938964844,143.85000610351562,143.9199981689453
143.7899932861328,143.9600067138672,143.75999450683594,143.9199981689453
143.6999969482422,143.89999389648438,143.60000610351562,143.77999877929688
143.36000061035156,143.72000122070312,143.32000732421875,143.6999969482422
143.4499969482422,143.58999633789062,143.25999450683594,143.3699951171875
143.69000244140625,143.8300018310547,143.42999267578125,143.47999572753906
144.02000427246094,144.02000427246094,143.7100067138672,143.77000427246094
143.77000427246094,144.17999267578125,143.77000427246094,144.0800018310547
143.47000122070312,143.91000366210938,143.3300018310547,143.77999877929688
143.25999450683594,143.85000610351562,143.25,143.47999572753906
143.39999389648438,143.41000366210938,142.97000122070312,143.25
